"make_id","make","model","year","engine_size","fuel_type","price","years_since_launch"
53,"Mercedes-Benz","GLC",2014,"2.00","Petrol","48920.57",10
5673,"Audi","A6",2014,"4.20","Diesel","61099.59",5
8656,"Audi","A4",2014,"2.40","Diesel","21548.90",5
58,"Volkswagen","Atlas",2014,"3.50","Petrol","50513.45",10
60,"BMW","X5",2014,"2.70","Petrol","31799.16",10
68,"Chevrolet","Equinox",2014,"4.60","Electric","49276.29",10
70,"Hyundai","Tucson",2014,"4.10","Electric","37244.64",10
76,"Audi","A4",2014,"1.10","Petrol","18686.56",10
77,"Chevrolet","Spark",2014,"4.20","Electric","55849.67",10
81,"Mercedes-Benz","C-Class",2014,"1.40","Petrol","78277.50",10
88,"BMW","7 Series",2014,"3.50","Petrol","49968.74",10
92,"Mercedes-Benz","E-Class",2014,"4.70","Petrol","16147.81",10
95,"Hyundai","Elantra",2014,"2.60","Electric","61638.44",10
97,"Nissan","Altima",2014,"3.00","Petrol","22072.93",10
103,"Honda","Accord",2014,"1.50","Electric","52931.11",10
109,"Volkswagen","Jetta",2014,"3.50","Electric","52851.78",10
115,"Volkswagen","Atlas",2014,"1.70","Electric","18600.24",10
131,"Ford","Explorer",2014,"3.90","Electric","55135.44",10
143,"Honda","Fit",2014,"4.60","Petrol","35111.22",10
153,"Volkswagen","Jetta",2014,"3.90","Petrol","35970.28",10
158,"Volkswagen","Golf",2014,"3.90","Petrol","52641.03",10
168,"BMW","3 Series",2014,"1.40","Petrol","72302.22",10
169,"Honda","Civic",2014,"4.80","Electric","17106.91",10
196,"Ford","Mustang",2014,"2.70","Petrol","36094.13",10
197,"Toyota","RAV4",2014,"2.20","Petrol","56870.05",10
198,"Audi","Q5",2014,"4.00","Electric","62813.32",10
203,"Toyota","Camry",2014,"2.30","Electric","63897.10",10
206,"BMW","3 Series",2014,"5.00","Petrol","77490.40",10
208,"BMW","3 Series",2014,"4.30","Petrol","60879.05",10
217,"Chevrolet","Malibu",2014,"4.20","Electric","54394.78",10
220,"Ford","Explorer",2014,"2.40","Petrol","68291.96",10
228,"Hyundai","Kona",2014,"1.80","Electric","72182.45",10
229,"Nissan","Rogue",2014,"1.40","Petrol","28141.33",10
234,"Ford","Fiesta",2014,"2.10","Electric","46588.71",10
237,"BMW","X3",2014,"2.00","Petrol","76949.00",10
238,"Honda","CR-V",2014,"4.00","Petrol","52206.71",10
239,"Nissan","Versa",2014,"4.60","Electric","42099.47",10
240,"Mercedes-Benz","S-Class",2014,"2.90","Electric","44631.06",10
250,"Chevrolet","Malibu",2014,"2.90","Electric","18804.47",10
267,"Chevrolet","Equinox",2014,"2.20","Electric","18020.81",10
268,"Honda","Civic",2014,"4.40","Petrol","35764.46",10
270,"Ford","Focus",2014,"4.10","Electric","20209.26",10
281,"BMW","3 Series",2014,"2.00","Petrol","19100.19",10
282,"Hyundai","Santa Fe",2014,"1.50","Electric","42472.55",10
287,"Volkswagen","Jetta",2014,"4.10","Petrol","48807.26",10
308,"Mercedes-Benz","GLC",2014,"1.60","Electric","30683.29",10
310,"Toyota","Corolla",2014,"2.30","Electric","24297.40",10
59,"Mercedes-Benz","E-Class",2014,"2.70","Diesel","33105.98",5
61,"Mercedes-Benz","E-Class",2014,"2.50","Diesel","61757.34",5
311,"Hyundai","Kona",2014,"4.50","Petrol","47747.91",10
317,"BMW","7 Series",2014,"1.40","Electric","56964.83",10
325,"Toyota","Prius",2014,"2.60","Electric","65773.79",10
335,"Mercedes-Benz","GLC",2014,"1.00","Petrol","42286.51",10
346,"Mercedes-Benz","C-Class",2014,"1.80","Electric","57595.23",10
349,"BMW","X5",2014,"3.40","Petrol","63217.40",10
350,"Audi","A6",2014,"3.70","Petrol","67866.60",10
357,"Nissan","Altima",2014,"2.80","Electric","79566.99",10
368,"Toyota","Camry",2014,"4.10","Electric","48614.11",10
370,"Mercedes-Benz","GLA",2014,"2.90","Petrol","78518.75",10
376,"BMW","3 Series",2014,"3.10","Petrol","78039.99",10
383,"Ford","Explorer",2014,"2.40","Petrol","44980.08",10
388,"Nissan","Versa",2014,"2.70","Petrol","40322.91",10
394,"Mercedes-Benz","S-Class",2014,"4.90","Petrol","23778.49",10
406,"Hyundai","Elantra",2014,"4.30","Petrol","73785.59",10
409,"Mercedes-Benz","E-Class",2014,"3.70","Petrol","58118.53",10
415,"Ford","Focus",2014,"4.80","Electric","34158.38",10
416,"Chevrolet","Malibu",2014,"4.00","Electric","46607.23",10
418,"Hyundai","Sonata",2014,"2.90","Petrol","44657.08",10
427,"Audi","A3",2014,"4.20","Electric","26880.96",10
430,"Hyundai","Kona",2014,"4.30","Petrol","71701.96",10
431,"Ford","Explorer",2014,"4.30","Electric","35533.73",10
443,"Toyota","Camry",2014,"4.60","Petrol","45678.92",10
449,"Volkswagen","Tiguan",2014,"4.30","Petrol","28692.17",10
450,"Chevrolet","Tahoe",2014,"3.20","Petrol","19478.28",10
461,"Chevrolet","Spark",2014,"2.90","Petrol","38470.66",10
462,"Honda","Fit",2014,"4.30","Electric","40341.17",10
469,"Hyundai","Tucson",2014,"2.00","Electric","67045.28",10
477,"Mercedes-Benz","GLA",2014,"3.60","Petrol","32617.14",10
478,"Volkswagen","Passat",2014,"2.00","Electric","67063.87",10
480,"Audi","Q5",2014,"4.40","Electric","61716.95",10
486,"BMW","X3",2014,"4.40","Petrol","63975.95",10
491,"Hyundai","Elantra",2014,"1.50","Petrol","20462.40",10
495,"Volkswagen","Golf",2014,"2.20","Electric","52479.95",10
496,"Volkswagen","Passat",2014,"1.70","Electric","26047.60",10
498,"Nissan","Sentra",2014,"2.50","Petrol","42205.85",10
501,"Nissan","Sentra",2014,"3.20","Petrol","62791.78",10
502,"Mercedes-Benz","E-Class",2014,"2.70","Electric","29079.69",10
507,"BMW","7 Series",2014,"2.60","Electric","76648.16",10
511,"Mercedes-Benz","E-Class",2014,"3.50","Electric","51242.58",10
512,"BMW","X5",2014,"1.50","Electric","56713.05",10
521,"Honda","Accord",2014,"3.90","Electric","67487.35",10
526,"Mercedes-Benz","E-Class",2014,"5.00","Petrol","73247.56",10
532,"BMW","7 Series",2014,"1.70","Petrol","39492.40",10
533,"Chevrolet","Spark",2014,"3.00","Petrol","47073.86",10
535,"Chevrolet","Spark",2014,"4.70","Petrol","28947.81",10
537,"Ford","Mustang",2014,"1.20","Petrol","35839.75",10
542,"Toyota","Corolla",2014,"4.10","Petrol","73274.14",10
544,"Volkswagen","Jetta",2014,"1.20","Petrol","55479.46",10
555,"Chevrolet","Impala",2014,"1.40","Petrol","64209.72",10
562,"Audi","A3",2014,"2.50","Electric","24897.99",10
565,"Nissan","Altima",2014,"1.30","Petrol","43828.87",10
566,"Audi","A4",2014,"4.60","Petrol","69910.59",10
571,"Hyundai","Elantra",2014,"2.80","Electric","79497.17",10
573,"Ford","Mustang",2014,"2.30","Petrol","65165.15",10
576,"Chevrolet","Tahoe",2014,"1.70","Electric","50134.42",10
589,"Nissan","Versa",2014,"2.00","Electric","60319.20",10
592,"Audi","Q5",2014,"1.30","Petrol","45297.12",10
602,"Toyota","Corolla",2014,"1.20","Petrol","54614.07",10
606,"Nissan","Versa",2014,"2.50","Petrol","65745.23",10
612,"Chevrolet","Equinox",2014,"3.80","Electric","57113.05",10
614,"Toyota","RAV4",2014,"2.30","Petrol","29373.92",10
615,"Honda","Pilot",2014,"3.80","Electric","68086.84",10
624,"Audi","A3",2014,"2.80","Electric","35794.53",10
626,"Hyundai","Elantra",2014,"4.20","Petrol","43949.43",10
633,"Toyota","RAV4",2014,"4.30","Electric","30896.22",10
638,"Toyota","Highlander",2014,"4.70","Petrol","15726.72",10
651,"Honda","CR-V",2014,"3.00","Electric","62894.47",10
653,"Ford","Explorer",2014,"3.00","Petrol","54019.98",10
655,"Mercedes-Benz","E-Class",2014,"1.10","Petrol","69370.76",10
659,"Toyota","RAV4",2014,"1.20","Petrol","47082.98",10
661,"Audi","Q7",2014,"3.00","Petrol","25832.16",10
662,"Nissan","Altima",2014,"4.30","Petrol","70066.29",10
667,"Mercedes-Benz","GLA",2014,"3.20","Petrol","56960.87",10
673,"Mercedes-Benz","E-Class",2014,"4.30","Petrol","44210.71",10
675,"Ford","Mustang",2014,"2.00","Electric","24610.65",10
676,"Chevrolet","Equinox",2014,"4.70","Electric","41928.02",10
683,"BMW","7 Series",2014,"1.10","Petrol","36378.70",10
687,"Ford","Focus",2014,"2.60","Electric","58630.92",10
690,"Chevrolet","Equinox",2014,"4.40","Electric","20480.41",10
691,"Hyundai","Tucson",2014,"3.40","Electric","63252.44",10
699,"Honda","Accord",2014,"3.40","Petrol","39135.24",10
701,"Toyota","Camry",2014,"2.20","Electric","23071.39",10
706,"Chevrolet","Equinox",2014,"1.00","Petrol","38684.34",10
708,"Toyota","Highlander",2014,"3.50","Electric","16125.59",10
723,"Mercedes-Benz","GLA",2014,"1.80","Petrol","59537.31",10
727,"Hyundai","Sonata",2014,"4.80","Petrol","63419.00",10
729,"Ford","F-150",2014,"3.50","Electric","56946.74",10
733,"Hyundai","Santa Fe",2014,"4.50","Petrol","19505.59",10
738,"Chevrolet","Impala",2014,"4.20","Electric","28754.74",10
754,"Nissan","Murano",2014,"1.70","Electric","65597.33",10
759,"BMW","7 Series",2014,"3.00","Petrol","61831.88",10
762,"Audi","Q5",2014,"3.50","Petrol","38205.00",10
764,"Honda","Pilot",2014,"1.30","Petrol","23346.81",10
771,"Mercedes-Benz","S-Class",2014,"3.80","Electric","28367.43",10
772,"Toyota","Corolla",2014,"3.60","Electric","55903.55",10
773,"BMW","5 Series",2014,"3.50","Electric","53383.01",10
777,"Chevrolet","Impala",2014,"3.60","Electric","59615.17",10
780,"Honda","Accord",2014,"1.30","Petrol","29137.93",10
782,"Ford","Explorer",2014,"1.70","Petrol","48076.92",10
788,"BMW","7 Series",2014,"4.90","Petrol","27533.08",10
789,"BMW","3 Series",2014,"2.20","Petrol","48522.50",10
800,"Toyota","Camry",2014,"1.90","Petrol","18967.04",10
806,"Hyundai","Elantra",2014,"1.80","Electric","42487.44",10
807,"Volkswagen","Golf",2014,"4.80","Petrol","66340.84",10
813,"Nissan","Murano",2014,"2.00","Petrol","21476.51",10
814,"Hyundai","Santa Fe",2014,"1.50","Electric","20920.44",10
823,"Toyota","RAV4",2014,"2.30","Electric","64682.73",10
828,"Audi","A3",2014,"1.90","Electric","17159.41",10
830,"Honda","Accord",2014,"2.70","Petrol","62422.60",10
833,"Chevrolet","Impala",2014,"1.10","Petrol","21172.57",10
838,"Toyota","RAV4",2014,"3.40","Electric","20675.93",10
843,"Mercedes-Benz","E-Class",2014,"2.30","Electric","27478.97",10
845,"Audi","Q5",2014,"4.00","Electric","28278.46",10
850,"Hyundai","Kona",2014,"3.50","Petrol","40645.86",10
854,"BMW","7 Series",2014,"4.40","Petrol","69416.10",10
866,"Audi","A4",2014,"4.00","Electric","73397.82",10
867,"Nissan","Versa",2014,"4.30","Petrol","29480.39",10
871,"Honda","Pilot",2014,"4.10","Electric","71233.31",10
872,"BMW","3 Series",2014,"2.70","Petrol","55961.05",10
873,"Audi","Q7",2014,"2.70","Petrol","21794.39",10
878,"BMW","X3",2014,"3.40","Petrol","50233.51",10
883,"Hyundai","Tucson",2014,"1.20","Electric","70761.20",10
886,"Toyota","Highlander",2014,"4.40","Electric","24042.94",10
895,"Mercedes-Benz","E-Class",2014,"3.80","Petrol","65323.65",10
899,"Audi","A4",2014,"1.30","Petrol","21721.46",10
900,"Chevrolet","Tahoe",2014,"1.40","Electric","24311.58",10
909,"BMW","7 Series",2014,"2.20","Electric","51660.90",10
914,"Toyota","Highlander",2014,"3.00","Petrol","79159.80",10
923,"Volkswagen","Golf",2014,"1.40","Electric","42018.82",10
925,"Volkswagen","Atlas",2014,"2.30","Electric","79727.84",10
932,"Toyota","Camry",2014,"4.10","Petrol","73330.14",10
945,"Hyundai","Santa Fe",2014,"5.00","Electric","28964.56",10
946,"Chevrolet","Impala",2014,"4.30","Petrol","44484.85",10
956,"Honda","Fit",2014,"3.60","Petrol","58074.11",10
964,"Audi","Q7",2014,"1.70","Petrol","26839.59",10
969,"Ford","Focus",2014,"3.50","Petrol","39439.08",10
978,"Audi","Q5",2014,"1.70","Petrol","52792.58",10
1006,"Toyota","Camry",2014,"1.50","Petrol","19207.61",10
1012,"Hyundai","Elantra",2014,"4.60","Electric","23858.92",10
1016,"Hyundai","Elantra",2014,"4.40","Electric","17195.93",10
1021,"Volkswagen","Tiguan",2014,"1.90","Electric","62460.68",10
1023,"Mercedes-Benz","E-Class",2014,"2.60","Petrol","34315.26",10
1032,"Ford","Fiesta",2014,"2.20","Petrol","17292.27",10
1036,"BMW","X3",2014,"3.40","Petrol","34309.09",10
1037,"Nissan","Altima",2014,"2.70","Electric","66125.30",10
1038,"Ford","Explorer",2014,"1.20","Petrol","66235.46",10
1039,"Chevrolet","Tahoe",2014,"4.70","Petrol","28747.47",10
1044,"Toyota","Corolla",2014,"4.30","Electric","61101.45",10
1046,"BMW","7 Series",2014,"1.50","Petrol","47912.27",10
1049,"Honda","Accord",2014,"5.00","Petrol","41800.89",10
1050,"BMW","5 Series",2014,"1.20","Petrol","35871.29",10
1057,"Audi","A6",2014,"1.90","Petrol","77100.65",10
1070,"Honda","Civic",2014,"2.40","Electric","69265.11",10
1071,"Ford","Explorer",2014,"3.20","Petrol","24390.01",10
1073,"Honda","Civic",2014,"4.40","Electric","42969.78",10
1077,"Chevrolet","Malibu",2014,"3.90","Petrol","69397.23",10
1087,"Audi","A6",2014,"4.60","Petrol","34961.36",10
1090,"Chevrolet","Spark",2014,"4.90","Petrol","18017.46",10
1092,"Nissan","Altima",2014,"1.50","Electric","40889.67",10
1097,"Toyota","Prius",2014,"1.30","Petrol","34703.33",10
1103,"Audi","Q5",2014,"1.70","Electric","68671.61",10
1105,"Toyota","Highlander",2014,"2.00","Petrol","58605.41",10
1109,"Hyundai","Elantra",2014,"1.60","Petrol","59391.36",10
1119,"Ford","F-150",2014,"3.50","Petrol","29734.99",10
1124,"Hyundai","Santa Fe",2014,"3.70","Electric","55941.90",10
1132,"Hyundai","Santa Fe",2014,"4.00","Petrol","68966.41",10
1141,"Audi","Q5",2014,"3.60","Petrol","38725.92",10
1144,"BMW","5 Series",2014,"4.30","Electric","44907.39",10
1145,"Nissan","Versa",2014,"2.30","Petrol","44245.98",10
1149,"Toyota","RAV4",2014,"2.10","Electric","43821.70",10
1157,"Nissan","Rogue",2014,"3.50","Electric","46323.18",10
1158,"Mercedes-Benz","E-Class",2014,"2.80","Petrol","46940.26",10
1160,"Nissan","Murano",2014,"3.90","Petrol","79834.00",10
1165,"Hyundai","Santa Fe",2014,"1.10","Electric","69498.34",10
1188,"Volkswagen","Atlas",2014,"1.10","Electric","52925.66",10
1193,"Audi","Q7",2014,"4.70","Electric","35263.49",10
1195,"BMW","7 Series",2014,"3.70","Electric","54559.55",10
1204,"Volkswagen","Atlas",2014,"4.30","Petrol","56663.85",10
1210,"Nissan","Sentra",2014,"2.00","Petrol","77197.72",10
1214,"Mercedes-Benz","GLC",2014,"2.60","Electric","71501.44",10
1223,"Toyota","RAV4",2014,"4.50","Electric","34257.39",10
1228,"Honda","Pilot",2014,"2.60","Petrol","49446.84",10
1235,"BMW","X3",2014,"4.50","Petrol","69732.09",10
1241,"Nissan","Sentra",2014,"2.70","Electric","39926.15",10
1245,"Chevrolet","Impala",2014,"3.80","Electric","79787.89",10
1248,"Nissan","Murano",2014,"4.70","Electric","50098.62",10
1249,"Volkswagen","Atlas",2014,"3.60","Petrol","49699.10",10
1252,"BMW","3 Series",2014,"2.30","Petrol","48956.04",10
1253,"Nissan","Rogue",2014,"3.10","Petrol","15760.04",10
1258,"Honda","Accord",2014,"2.20","Petrol","22301.23",10
1260,"Chevrolet","Malibu",2014,"4.90","Electric","45528.62",10
1262,"Audi","Q7",2014,"2.50","Electric","58822.75",10
1263,"Ford","F-150",2014,"4.50","Petrol","38133.14",10
1270,"Nissan","Altima",2014,"3.80","Electric","75555.40",10
1275,"Hyundai","Santa Fe",2014,"3.50","Electric","24885.01",10
1278,"Honda","Civic",2014,"1.80","Electric","73717.47",10
1291,"Audi","A3",2014,"3.60","Electric","26217.14",10
1300,"BMW","7 Series",2014,"2.40","Electric","70886.14",10
1307,"Audi","A4",2014,"1.60","Electric","49639.13",10
1312,"BMW","X5",2014,"4.70","Electric","56600.06",10
1316,"BMW","5 Series",2014,"1.60","Petrol","40608.46",10
1317,"Nissan","Altima",2014,"3.10","Electric","65810.20",10
1321,"Honda","Accord",2014,"3.20","Petrol","37094.42",10
1322,"Audi","A6",2014,"2.10","Electric","27756.48",10
1323,"Toyota","Highlander",2014,"4.70","Electric","37517.07",10
1327,"Volkswagen","Atlas",2014,"1.50","Electric","22881.76",10
1328,"Hyundai","Tucson",2014,"4.10","Electric","31551.85",10
1334,"Ford","F-150",2014,"1.40","Electric","37789.49",10
1336,"Volkswagen","Golf",2014,"1.50","Petrol","34352.02",10
1339,"BMW","7 Series",2014,"2.00","Petrol","38929.86",10
1344,"Mercedes-Benz","E-Class",2014,"1.10","Petrol","61105.84",10
1349,"Nissan","Murano",2014,"1.40","Electric","52861.87",10
1363,"Audi","A3",2014,"3.50","Petrol","18960.73",10
1373,"Volkswagen","Passat",2014,"3.10","Electric","31944.44",10
1375,"Audi","A4",2014,"4.40","Electric","24005.24",10
1376,"Hyundai","Elantra",2014,"3.10","Petrol","51268.88",10
1380,"Nissan","Versa",2014,"1.30","Electric","79913.95",10
1388,"Nissan","Rogue",2014,"1.20","Petrol","60272.28",10
1402,"Nissan","Versa",2014,"4.50","Petrol","79364.06",10
1410,"Mercedes-Benz","E-Class",2014,"2.30","Petrol","79792.67",10
1425,"Toyota","RAV4",2014,"1.40","Electric","41997.09",10
1427,"BMW","X5",2014,"3.10","Petrol","26960.68",10
1430,"Audi","Q5",2014,"2.10","Electric","38652.86",10
1436,"Volkswagen","Atlas",2014,"3.20","Petrol","19823.05",10
1437,"Volkswagen","Passat",2014,"3.70","Petrol","48387.87",10
1438,"Volkswagen","Jetta",2014,"4.70","Electric","63385.13",10
1441,"Audi","A6",2014,"3.50","Electric","23102.34",10
1470,"Nissan","Versa",2014,"1.80","Petrol","16366.58",10
1476,"Mercedes-Benz","E-Class",2014,"2.70","Electric","39835.85",10
1482,"Volkswagen","Passat",2014,"1.10","Electric","20298.31",10
1485,"Chevrolet","Malibu",2014,"3.60","Electric","73466.44",10
1494,"Honda","CR-V",2014,"3.20","Petrol","26677.83",10
1496,"BMW","3 Series",2014,"2.70","Petrol","18028.44",10
1500,"Chevrolet","Spark",2014,"4.80","Petrol","34187.32",10
1507,"Mercedes-Benz","C-Class",2014,"3.30","Electric","18391.16",10
1515,"Audi","Q7",2014,"4.60","Petrol","38207.25",10
1520,"Mercedes-Benz","GLC",2014,"2.80","Petrol","40116.28",10
1521,"Volkswagen","Atlas",2014,"1.40","Electric","39192.63",10
1526,"BMW","5 Series",2014,"4.10","Petrol","16251.51",10
1532,"Mercedes-Benz","GLC",2014,"1.60","Petrol","46173.41",10
1544,"BMW","5 Series",2014,"3.50","Electric","70466.46",10
1550,"Chevrolet","Impala",2014,"2.40","Electric","78410.53",10
1555,"Toyota","Camry",2014,"3.40","Petrol","57099.44",10
1561,"Nissan","Murano",2014,"2.30","Electric","78660.50",10
1565,"BMW","X5",2014,"1.30","Electric","33517.84",10
1566,"Toyota","Prius",2014,"1.70","Electric","78821.20",10
1568,"Honda","Pilot",2014,"2.80","Petrol","70879.32",10
1569,"Nissan","Sentra",2014,"1.40","Electric","18568.10",10
1571,"Hyundai","Sonata",2014,"4.50","Electric","28105.68",10
1575,"Chevrolet","Equinox",2014,"4.80","Electric","52583.66",10
1577,"Honda","Pilot",2014,"4.50","Electric","37234.31",10
1581,"BMW","5 Series",2014,"2.40","Petrol","32890.84",10
1589,"Ford","Fiesta",2014,"3.40","Electric","55051.15",10
1591,"Volkswagen","Passat",2014,"2.60","Electric","65335.45",10
1598,"Ford","Explorer",2014,"2.70","Petrol","75957.74",10
1602,"Hyundai","Elantra",2014,"4.30","Electric","57119.70",10
1608,"Audi","A4",2014,"3.90","Petrol","41117.79",10
1612,"Audi","Q7",2014,"2.40","Electric","66846.05",10
1614,"Mercedes-Benz","GLA",2014,"3.60","Petrol","67196.68",10
1619,"Toyota","Highlander",2014,"2.30","Electric","79322.65",10
1636,"Hyundai","Sonata",2014,"1.80","Petrol","47838.94",10
1639,"Honda","Civic",2014,"3.30","Electric","19122.40",10
1641,"Volkswagen","Passat",2014,"1.50","Petrol","43250.59",10
1648,"Hyundai","Tucson",2014,"1.30","Petrol","65643.65",10
1654,"Audi","Q7",2014,"4.30","Electric","55507.77",10
1667,"Hyundai","Kona",2014,"3.50","Petrol","72497.13",10
1668,"Nissan","Versa",2014,"2.30","Petrol","72730.63",10
1676,"Nissan","Murano",2014,"1.70","Electric","25985.41",10
1678,"Ford","Explorer",2014,"1.30","Electric","33962.16",10
1680,"Audi","A6",2014,"3.80","Petrol","63547.04",10
1698,"Ford","Fiesta",2014,"2.20","Petrol","21168.86",10
1706,"Mercedes-Benz","GLA",2014,"3.70","Electric","75597.02",10
1712,"Honda","Civic",2014,"4.50","Petrol","60298.89",10
1714,"Toyota","Prius",2014,"4.10","Electric","48182.12",10
1716,"Hyundai","Sonata",2014,"3.70","Petrol","63183.65",10
1717,"Audi","A4",2014,"2.50","Petrol","18793.89",10
1718,"Hyundai","Kona",2014,"2.20","Electric","79151.68",10
1721,"Honda","Civic",2014,"3.70","Electric","38866.28",10
1732,"Hyundai","Tucson",2014,"2.30","Electric","75805.42",10
1733,"Ford","Focus",2014,"1.90","Electric","53240.02",10
1739,"Audi","A6",2014,"4.40","Electric","78931.02",10
1749,"Volkswagen","Tiguan",2014,"1.20","Electric","48072.26",10
1750,"Audi","Q7",2014,"5.00","Electric","30675.86",10
1753,"Volkswagen","Tiguan",2014,"3.30","Electric","73950.79",10
1754,"Audi","A6",2014,"3.40","Petrol","51243.68",10
1756,"Chevrolet","Tahoe",2014,"1.70","Petrol","62935.33",10
1758,"Ford","F-150",2014,"3.20","Petrol","60351.69",10
1765,"Ford","F-150",2014,"4.70","Electric","53504.98",10
1771,"Nissan","Sentra",2014,"1.60","Petrol","69589.78",10
1787,"Volkswagen","Tiguan",2014,"2.10","Electric","51072.27",10
1796,"BMW","3 Series",2014,"2.10","Electric","71362.14",10
1805,"Mercedes-Benz","E-Class",2014,"2.80","Petrol","78071.27",10
1825,"BMW","X5",2014,"2.40","Petrol","22922.17",10
1829,"Mercedes-Benz","GLC",2014,"4.00","Electric","63793.70",10
1832,"Audi","A6",2014,"1.20","Electric","78172.90",10
1838,"Volkswagen","Atlas",2014,"4.80","Electric","56784.82",10
1841,"Toyota","Camry",2014,"3.40","Petrol","59567.41",10
1849,"Hyundai","Sonata",2014,"2.10","Electric","56158.43",10
1863,"Audi","Q5",2014,"3.70","Electric","24111.85",10
1865,"Toyota","RAV4",2014,"1.40","Petrol","59099.22",10
1876,"Honda","Pilot",2014,"2.20","Petrol","35099.24",10
1888,"Hyundai","Sonata",2014,"4.30","Electric","75004.22",10
1889,"Hyundai","Sonata",2014,"3.50","Petrol","72611.37",10
1892,"Ford","Focus",2014,"2.80","Petrol","16799.80",10
1894,"Nissan","Rogue",2014,"3.00","Petrol","47542.17",10
1897,"Ford","Focus",2014,"4.50","Electric","65503.28",10
1900,"Ford","F-150",2014,"4.60","Electric","21106.81",10
1903,"Volkswagen","Passat",2014,"2.90","Electric","38060.36",10
1915,"Nissan","Rogue",2014,"4.90","Electric","28337.54",10
1920,"BMW","3 Series",2014,"1.10","Petrol","20606.70",10
1927,"BMW","X3",2014,"3.10","Electric","36045.76",10
1932,"BMW","5 Series",2014,"1.40","Petrol","69191.81",10
1935,"Audi","Q5",2014,"3.80","Electric","18901.52",10
1942,"Nissan","Murano",2014,"1.40","Electric","43839.17",10
1943,"Honda","CR-V",2014,"1.80","Electric","41786.48",10
1952,"Nissan","Versa",2014,"2.20","Petrol","35175.73",10
1953,"Ford","Focus",2014,"3.10","Petrol","30674.86",10
1957,"BMW","X5",2014,"1.10","Electric","59875.16",10
1959,"Audi","A3",2014,"1.90","Petrol","21247.07",10
1962,"Nissan","Murano",2014,"2.80","Electric","53542.99",10
1965,"Chevrolet","Spark",2014,"2.20","Electric","31717.20",10
1966,"Hyundai","Tucson",2014,"1.30","Petrol","50887.05",10
1974,"Honda","Accord",2014,"4.70","Electric","20773.71",10
1980,"Audi","A4",2014,"4.70","Electric","56791.58",10
1993,"Ford","Mustang",2014,"2.60","Electric","28209.79",10
1997,"Honda","Accord",2014,"4.60","Petrol","69792.32",10
1998,"Honda","CR-V",2014,"3.60","Petrol","35140.85",10
2002,"Ford","Explorer",2014,"4.80","Electric","74039.39",10
2008,"Toyota","RAV4",2014,"1.30","Petrol","39436.73",10
2015,"Ford","Focus",2014,"1.20","Electric","70320.31",10
2018,"Chevrolet","Equinox",2014,"1.80","Electric","41005.61",10
2022,"Mercedes-Benz","S-Class",2014,"1.00","Electric","38477.26",10
2023,"Nissan","Sentra",2014,"3.30","Electric","35700.46",10
2033,"Nissan","Rogue",2014,"4.60","Electric","48703.58",10
2038,"Honda","Civic",2014,"2.30","Electric","62980.04",10
2044,"Ford","Mustang",2014,"3.30","Petrol","59694.17",10
2055,"Toyota","Prius",2014,"4.70","Petrol","61591.10",10
2061,"Ford","Explorer",2014,"2.90","Petrol","27724.39",10
2062,"Honda","Civic",2014,"2.30","Petrol","57619.81",10
2064,"Chevrolet","Impala",2014,"3.10","Electric","70018.74",10
2068,"Audi","A4",2014,"3.70","Petrol","72879.41",10
2069,"Audi","A3",2014,"1.30","Electric","66281.85",10
2071,"Mercedes-Benz","GLC",2014,"1.60","Electric","31225.86",10
2098,"Mercedes-Benz","C-Class",2014,"2.00","Petrol","77739.72",10
2103,"Ford","Focus",2014,"4.70","Petrol","48632.83",10
2109,"Hyundai","Santa Fe",2014,"4.90","Petrol","40402.80",10
2113,"Ford","Fiesta",2014,"2.40","Electric","60887.03",10
2114,"Hyundai","Santa Fe",2014,"3.50","Electric","66231.50",10
2124,"Volkswagen","Golf",2014,"1.30","Electric","79367.82",10
2127,"Volkswagen","Jetta",2014,"3.20","Petrol","51970.10",10
2134,"Toyota","Highlander",2014,"4.30","Petrol","60161.31",10
2138,"Volkswagen","Passat",2014,"1.40","Petrol","68238.94",10
2148,"Chevrolet","Spark",2014,"2.50","Electric","65429.74",10
2154,"Toyota","Highlander",2014,"4.80","Electric","45453.91",10
2159,"Volkswagen","Golf",2014,"1.50","Electric","63451.99",10
2160,"Nissan","Altima",2014,"4.30","Electric","53193.73",10
2163,"BMW","7 Series",2014,"3.20","Petrol","50523.02",10
2165,"Audi","A6",2014,"1.00","Petrol","22658.39",10
