make_id,make,model,year,engine_size,fuel_type,price,years_since_launch
5673,Audi,A6,2014,4.2,Diesel,61099.59,5
8656,Audi,A4,2014,2.4,Diesel,21548.9,5
59,Mercedes-Benz,E-Class,2014,2.7,Diesel,33105.98,5
61,Mercedes-Benz,E-Class,2014,2.5,Diesel,61757.34,5
5145,Toyota,RAV4,2014,3.6,Hybrid,28942.84,5
8151,Chevrolet,Tahoe,2014,2.2,Hybrid,47226.51,5
6981,Audi,Q5,2020,4.1,Electric,48116.02,4
31,BMW,5 Series,2020,3.7,Petrol,79866.56,4
48,Toyota,Highlander,2020,2.9,Petrol,26926.1,4
72,Mercedes-Benz,S-Class,2020,2.1,Petrol,67972.98,4
80,Mercedes-Benz,E-Class,2020,1.9,Petrol,77397.76,4
161,Mercedes-Benz,GLA,2019,4.3,Petrol,37136.5,5
178,Toyota,Highlander,2020,4.8,Petrol,33897.95,4
180,Hyundai,Santa Fe,2020,4.5,Electric,37964.73,4
248,Volkswagen,Golf,2020,3,Electric,36986.48,4
256,Volkswagen,Tiguan,2020,2.8,Electric,28601.9,4
274,Nissan,Versa,2020,2.7,Electric,26191.43,4
353,Audi,Q5,2020,2.1,Electric,56704.34,4
377,Ford,Focus,2019,1.9,Electric,35640.7,5
439,Toyota,Prius,2020,1.9,Electric,43654.82,4
558,Chevrolet,Impala,2019,2.3,Petrol,70532.55,5
574,Nissan,Sentra,2019,3.5,Electric,71286.96,5
630,Hyundai,Santa Fe,2020,1.2,Electric,48116.95,4
634,Nissan,Sentra,2020,3.3,Electric,26844.95,4
637,BMW,X5,2019,1.4,Electric,31224.78,5
643,Mercedes-Benz,C-Class,2020,3.5,Electric,49134.5,4
647,Toyota,Prius,2020,2.6,Petrol,34838.21,4
649,Honda,Fit,2019,2.3,Electric,33188.8,5
735,Toyota,Prius,2020,1.1,Electric,55540.09,4
736,BMW,3 Series,2020,2.9,Electric,71165.9,4
739,Audi,Q5,2019,3.5,Petrol,27698.77,5
863,Ford,Fiesta,2019,3.6,Electric,38867.12,5
916,Audi,A6,2019,2.8,Electric,74369.14,5
917,Chevrolet,Spark,2020,1.9,Electric,76081.15,4
935,Chevrolet,Tahoe,2019,1.2,Electric,22440.67,5
936,Nissan,Versa,2019,4.7,Electric,23842.2,5
944,Mercedes-Benz,S-Class,2019,2,Petrol,58478.06,5
960,Ford,F-150,2020,1.8,Electric,71574.61,4
1014,Chevrolet,Malibu,2020,3.1,Petrol,68595.97,4
1026,Hyundai,Santa Fe,2020,1.2,Petrol,32462.23,4
1031,Audi,A4,2020,4.9,Petrol,27132.12,4
1051,Nissan,Rogue,2020,2.3,Electric,39535.66,4
7911,Ford,Focus,2020,3.7,Diesel,61454.33,5
1061,Nissan,Murano,2019,4.3,Electric,59726.22,5
1143,Toyota,Camry,2020,2.9,Petrol,74417.11,4
1154,Volkswagen,Tiguan,2020,4.8,Electric,64585.06,4
1159,Chevrolet,Malibu,2019,2.2,Electric,30122.53,5
1232,Volkswagen,Atlas,2019,2.3,Petrol,32238.22,5
1352,Mercedes-Benz,GLC,2020,2,Electric,48008.9,4
1353,Mercedes-Benz,E-Class,2020,3.4,Electric,39868.81,4
1357,Honda,Civic,2020,1.4,Petrol,75645.42,4
1424,Mercedes-Benz,C-Class,2020,3.8,Electric,49451.29,4
1440,Chevrolet,Impala,2019,3.5,Petrol,24536.11,5
1455,Honda,Fit,2019,2,Electric,70513.08,5
1513,Honda,Pilot,2020,3.5,Petrol,40262.21,4
1517,Nissan,Sentra,2020,1.1,Petrol,34328.98,4
1524,Ford,F-150,2019,4.7,Petrol,15512.48,5
1539,Hyundai,Sonata,2019,1.6,Electric,67470.32,5
1542,Toyota,Prius,2019,1.5,Electric,39505.09,5
1545,Hyundai,Elantra,2019,3.5,Petrol,44423.87,5
1546,Nissan,Rogue,2019,1.6,Electric,34122.53,5
1630,Honda,Fit,2020,4.6,Electric,17791.34,4
1643,Mercedes-Benz,E-Class,2020,1.3,Petrol,67567.98,4
1644,BMW,7 Series,2020,1.5,Electric,45477.35,4
1649,Chevrolet,Malibu,2019,1.2,Petrol,16639.67,5
1651,BMW,5 Series,2020,1.9,Petrol,20689.34,4
1751,Hyundai,Kona,2020,4.1,Electric,27424.4,4
1814,Nissan,Rogue,2020,4.2,Petrol,45272.15,4
1843,Chevrolet,Tahoe,2019,4.3,Petrol,33168.77,5
1921,BMW,X3,2019,2.6,Electric,71835.95,5
1941,Honda,Accord,2020,2.4,Petrol,32291.17,4
1948,Chevrolet,Spark,2020,2.1,Petrol,46805.6,4
1999,Volkswagen,Passat,2020,1.9,Petrol,30078.52,4
2011,Honda,Pilot,2019,1.2,Petrol,49316.5,5
2016,BMW,3 Series,2019,5,Electric,24704.67,5
2021,Toyota,Corolla,2020,2.1,Petrol,73022.26,4
2030,Hyundai,Elantra,2019,1.1,Petrol,52088.64,5
2034,Volkswagen,Jetta,2019,2.6,Electric,31935.84,5
2039,BMW,5 Series,2019,1.9,Petrol,74782.05,5
2118,Chevrolet,Malibu,2019,4.3,Petrol,40916.61,5
2140,Volkswagen,Passat,2020,3.3,Electric,66593.46,4
2214,Honda,Civic,2020,3.1,Petrol,71281.95,4
2220,Mercedes-Benz,E-Class,2019,4.9,Electric,79237.71,5
